Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
B;Dong, YH;;Esa, R;;Dong Yinghong;;;The Research Based on Face Detection and Location System;2011 INTERNATIONAL CONFERENCE ON FUTURE COMPUTER SCIENCE AND APPLICATION (FCSA 2011), VOL 1;;;;;International Conference on Future Computer Science and Application (FCSA 2011);JUL 16-17, 2011;Kota Kinabalu, MALAYSIA;Univ Malaya, Wuhan Univ, China Univ Geosciences, Huazhong Normal Univ, Int Ind Elect Ctr Hong Kong;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-9-8;;;;2011;;;;;;;502;505;;;;;;;;;WOS:000393845100124;;;;;;
B;"Wang, YB; Tan, L";;Esa, R;;"Wang, Yanbai; Tan, Lu";;;The study of the Interactive Image Retrieval;2011 INTERNATIONAL CONFERENCE ON FUTURE COMPUTER SCIENCE AND APPLICATION (FCSA 2011), VOL 3;;;;;International Conference on Future Computer Science and Application (FCSA 2011);JUL 16-17, 2011;Kota Kinabalu, MALAYSIA;Univ Malaya, Wuhan Univ, China Univ Geosciences, Huazhong Normal Univ, Int Ind Elect Ctr Hong Kong;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-9-8;;;;2011;;;;;;;280;283;;;;;;;;;WOS:000392456900068;;;;;;
B;"Liu, XB; Yang, A";;Zhou, M;;"Liu, Xiabi; Yang, Ali";;;Teaching Artificial Intelligence with a Website Focusing on System of Artificial Intelligence Concepts;2011 INTERNATIONAL CONFERENCE ON FUTURE COMPUTERS IN EDUCATION (ICFCE 2011), VOL III;;;;;International Conference on Future Computers in Education (ICFCE 2011);JUN 25-26, 2011;Xiamen, PEOPLES R CHINA;Hubei Univ Technol, Int Ind Elect Ctr;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-6-7;;;;2011;;;;;;;86;89;;;;;;;;;WOS:000297605200024;;;;;;
B;"Wang, LJ; Lu, WG; Zhu, JY";;Zhou, M;;"Wang, Li-juan; Lu, Wan-gang; Zhu, Jia-yuan";;;Design of Aerobics Intelligent Tutoring System Model And Implementation of Its Core Technologies;2011 INTERNATIONAL CONFERENCE ON FUTURE COMPUTERS IN EDUCATION (ICFCE 2011), VOL III;;;;;International Conference on Future Computers in Education (ICFCE 2011);JUN 25-26, 2011;Xiamen, PEOPLES R CHINA;Hubei Univ Technol, Int Ind Elect Ctr;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-6-7;;;;2011;;;;;;;305;308;;;;;;;;;WOS:000297605200083;;;;;;
B;"Chen, QZ; Yao, M; Li, YD; Huang, WD; Liu, WC";;Zhou, M;;"Chen Qing-zhang; Yao Min; Li Yi-dong; Huang Wan-de; Liu Wei-chao";;;Development and Functional Components of Teaching System Assisted by Intellectual Computers;2011 INTERNATIONAL CONFERENCE ON FUTURE COMPUTERS IN EDUCATION (ICFCE 2011), VOL III;;;;;International Conference on Future Computers in Education (ICFCE 2011);JUN 25-26, 2011;Xiamen, PEOPLES R CHINA;Hubei Univ Technol, Int Ind Elect Ctr;;;;;;;;chen, qingzhang/H-2823-2012;;;;;;;;;;;;;;;978-988-19116-6-7;;;;2011;;;;;;;475;478;;;;;;;;;WOS:000297605200128;;;;;;
S;"Yang, F; Zhang, Y";;"Esa, R; Se, L";;"Yang, Fei; Zhang, Yong";;;Distributed Simulation Environment for the Artificial Intelligence Community;2011 INTERNATIONAL CONFERENCE ON FUTURE INFORMATION ENGINEERING (ICFIE 2011);Lecture Notes in Information Technology;;;;International Conference on Future Information Engineering (ICFIE 2011);SEP 30-OCT 01, 2011;Bangkok, THAILAND;;;;;;;;;;;;;;;;;;;;;;2070-1918;;978-1-61275-990-6;;;;2011;8;;;;;;238;242;;;;;;;;;WOS:000393448500043;;;;;;
S;"Zhang, Y; Wang, CT; Xia, XH; Sun, Y";;"Esa, R; Se, L";;"Zhang, Ying; Wang, Changtao; Xia, Xinghua; Sun, Ying";;;Path Planning of Robot Based on Improved Ant Colony Algorithm;2011 INTERNATIONAL CONFERENCE ON FUTURE INFORMATION ENGINEERING (ICFIE 2011);Lecture Notes in Information Technology;;;;International Conference on Future Information Engineering (ICFIE 2011);SEP 30-OCT 01, 2011;Bangkok, THAILAND;;;;;;;;;;;;;;;;;;;;;;2070-1918;;978-1-61275-990-6;;;;2011;8;;;;;;256;261;;;;;;;;;WOS:000393448500046;;;;;;
B;"Zhu, YF; Qin, HC; Wei, WX";;Yun, Z;;"Zhu, Yunfeng; Qin, Huanchang; Wei, Weixing";;;Consonant Passwords in the Fingers;2011 INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND NEURAL COMPUTING (FSNC 2011), VOL I;;;;;International Conference on Fuzzy Systems and Neural Computing (FSNC 2011);FEB 20-21, 2011;Hong Kong, PEOPLES R CHINA;Hong Kong Educ Soc, Huazhong Univ Sci & Technol, IEEE Beijing Nanchang Sect IAS Chapter;;;;;;;;;;;;;;;;;;;;;;;978-1-4244-9216-9;;;;2011;;;;;;;218;222;;;;;;;;;WOS:000398329900058;;;;;;
B;"Tang, LP; Yao, MH; Chen, XG; He, TN; Wang, W";;Yun, Z;;"Tang, Liping; Yao, Minghai; Chen, Xuanguang; He, Tongneng; Wang, Wei";;;Study and Realization of a Multi-mechanism Model of Affective Computing;2011 INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND NEURAL COMPUTING (FSNC 2011), VOL VI;;;;;International Conference on Fuzzy Systems and Neural Computing (FSNC 2011);FEB 20-21, 2011;Hong Kong, PEOPLES R CHINA;Hong Kong Educ Soc, Huazhong Univ Sci & Technol, IEEE Beijing Nanchang Sect IAS Chapter;;;;;;;;;;;;;;;;;;;;;;;978-1-4244-9216-9;;;;2011;;;;;;;103;107;;;;;;;;;WOS:000398331100028;;;;;;
B;"Gabriel, B; Stefan, O; Nicolae, P; Ioel, VS; Mircea, O; Rodica, B";;;ASME;"Gabriel, Badescu; Stefan, Ovidiu; Nicolae, Pop; Ioel, Veres Samuel; Mircea, Ortelecan; Rodica, Badescu";;;USING NEURAL NETWORKS FOR DYNAMIC VEHICLE NAVIGATION USING INTEGRATED GNSS/INS YOUR ROMANIA;2011 INTERNATIONAL CONFERENCE ON INSTRUMENTATION, MEASUREMENT, CIRCUITS AND SYSTEMS (ICIMCS 2011), VOL 2: FUTURE COMMUNICATION AND NETWORKING;;;;;International Conference on Instrumentation, Measurement, Circuits and Systems (ICIMCS 2011);DEC 12-13, 2011;Hong Kong, PEOPLES R CHINA;;;;;;;;;Stefan, Ovidiu/ABF-4700-2020;Stefan, Ovidiu/0000-0003-0775-3278;;;;;;;;;;;;;;978-0-7918-5990-2;;;;2011;;;;;;;23;+;;;;;;;;;WOS:000306295600006;;;;;;
